Šifra modela,Veličina,Šifra boje,MPC,Ime branda,Šifra branda,Vodič za veličinu,Spol,Oblik,Tip,Boja prednjeg dijela,Materijal prednjeg dijela,Širina leće,Visina leće,Materijal ručkice,Dužina ručkice,Fleksibilni,Veličina mosta,Naziv,Privremeno ime,Slika,Naziv final
0VO4215SD-1,58,280/13,84,VOGUE,VO,S,Žene,Nepravilan,Puni okvir,Fronta Crna/Zlatna,Metal,53,45,Metal,135,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4215SD__280/13,Dioptrijski okvir VOGUE S Fronta Crna/Zlatna
0VO4215SD-2,58,515284,84,VOGUE,VO,XS,Žene,Nepravilan,Puni okvir,Fronta Bijela/Zlatna,Metal,51,43,Metal,135,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4215SD__515284,Dioptrijski okvir VOGUE XS Fronta Bijela/Zlatna
0VO4226,55,5155,101,VOGUE,VO,S,Muškarci,Pilotski,Poluotvoreni okvir,"Fronta Crna,Gunmetal",Metal,50,46,Metal,145,,20,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4226__5155,"Dioptrijski okvir VOGUE S Fronta Crna,Gunmetal"
0VO4226-1,55,5155,101,VOGUE,VO,S,Muškarci,Pilotski,Poluotvoreni okvir,Fronta Crna,Metal,50,46,Metal,145,,20,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4226__5155,Dioptrijski okvir VOGUE S Fronta Crna
0VO4226-2,55,848,101,VOGUE,VO,S,Muškarci,Pilotski,Poluotvoreni okvir,Gunmetal,Metal,50,46,Metal,145,,20,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4226__848,Dioptrijski okvir VOGUE S Gunmetal
0VO4274,51,323,84,VOGUE,VO,"XS,S",Žene,Phantos,Puni okvir,"Fronta Crna/Srebrna,Svijetloljubičasta",Metal,50,46,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4274__323,"Dioptrijski okvir VOGUE XS,S Fronta Crna/Srebrna,Svijetloljubičasta"
0VO4274-1,51,323,84,VOGUE,VO,XS,Žene,Phantos,Puni okvir,Fronta Crna/Srebrna,Metal,50,46,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4274__323,Dioptrijski okvir VOGUE XS Fronta Crna/Srebrna
0VO4274-2,53,323,84,VOGUE,VO,S,Žene,Phantos,Puni okvir,Fronta Crna/Srebrna,Metal,52,48,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4274__323,Dioptrijski okvir VOGUE S Fronta Crna/Srebrna
0VO4274-3,53,352,84,VOGUE,VO,S,Žene,Phantos,Puni okvir,Svijetloljubičasta,Metal,52,48,Metal,140,,18,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4274__352,Dioptrijski okvir VOGUE S Svijetloljubičasta
0VO4277SB,56,352/E2,101,VOGUE,VO,"S,M",Žene,Nepravilan,Puni okvir,"Ružičasto zlatna,Fronta Crna/Srebrna",Metal,53,46,Metal,140,,17,Dioptrijski okvir,Dioptrijski okvir VOGUE,0VO4277SB__352/E2,"Dioptrijski okvir VOGUE S,M Ružičasto zlatna,Fronta Crna/Srebrna"
