Naziv proizvoda,BREND,,OBLIK OKVIRA,U KOJIM BOJAMA JE DOSTUPAN,U KOJIM VELIČINAMA,MATERIJAL OKVIRA,CIJENA S UKLJUČENIM PDV-om,ŠIRINA LEĆE,VISINA LEĆE,ŠIRINA MOSTA,RUČKICE,ŠIRINA FRONTE,ŠIFRA,Kategorija,AtributSet,Slika,Naziv final,slug
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,"SHINY FULL GREEN 0D80,CRNA 0700",M,Acetat,145,54,46,16,140,137,VYA132,Uncategorized,SvePotrebno,VYA132,"DIOPTRIJSKI OKVIR SHINY FULL GREEN 0D80,CRNA 0700 M",dioptrijski-okvir-shiny-full-green-0d80crna-0700-m
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,SHINY FULL GREEN 0D80,M,Acetat,145,54,46,16,140,137,VYA132-1,Uncategorized,SvePotrebno,VYA132,DIOPTRIJSKI OKVIR SHINY FULL GREEN 0D80 M,dioptrijski-okvir-shiny-full-green-0d80-m
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,CRNA 0700,M,Acetat,145,54,46,16,140,137,VYA132-2,Uncategorized,SvePotrebno,VYA132,DIOPTRIJSKI OKVIR CRNA 0700 M,dioptrijski-okvir-crna-0700-m-5
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,BROWN/WHITE HAVANA,M,Acetat,145,54,47,17,140,138,VYA162,Uncategorized,SvePotrebno,VYA162,DIOPTRIJSKI OKVIR BROWN/WHITE HAVANA M,dioptrijski-okvir-brown-white-havana-m
DIOPTRIJSKI OKVIR,YALEA,,Nepravilan,BROWN/WHITE HAVANA,M,Acetat,145,54,47,17,140,138,VYA162-1,Uncategorized,SvePotrebno,VYA162,DIOPTRIJSKI OKVIR BROWN/WHITE HAVANA M,dioptrijski-okvir-brown-white-havana-m-1
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,"DARK/LIGHT GREEN 0Z48,CRNA 0700,PLAVA/SMEĐA 01BA",M,Acetat,80,50,41,16,135,130,VK142,Uncategorized,SvePotrebno,VK142,"DIOPTRIJSKI OKVIR DARK/LIGHT GREEN 0Z48,CRNA 0700,PLAVA/SMEĐA 01BA M",dioptrijski-okvir-dark-light-green-0z48crna-0700plava-smeda-01ba-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,DARK/LIGHT GREEN 0Z48,M,Acetat,80,50,41,16,135,130,VK142-1,Uncategorized,SvePotrebno,VK142,DIOPTRIJSKI OKVIR DARK/LIGHT GREEN 0Z48 M,dioptrijski-okvir-dark-light-green-0z48-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,CRNA 0700,M,Acetat,80,50,41,16,135,130,VK142-2,Uncategorized,SvePotrebno,VK142,DIOPTRIJSKI OKVIR CRNA 0700 M,dioptrijski-okvir-crna-0700-m-6
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,PLAVA/SMEĐA 01BA,M,Acetat,80,50,41,16,135,130,VK142-3,Uncategorized,SvePotrebno,VK142,DIOPTRIJSKI OKVIR PLAVA/SMEĐA 01BA M,dioptrijski-okvir-plava-smeda-01ba-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,"MAT CRNA 028K,MAT PLAVA 0U43,MAT TAMNO/SVJETLO PLAVA D36M",M,Plastika,80,49,42,18,140,130,VK147,Uncategorized,SvePotrebno,VK147,"DIOPTRIJSKI OKVIR MAT CRNA 028K,MAT PLAVA 0U43,MAT TAMNO/SVJETLO PLAVA D36M M",dioptrijski-okvir-mat-crna-028kmat-plava-0u43mat-tamno-svjetlo-plava-d36m-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,MAT CRNA 028K,M,Plastika,80,49,42,18,140,130,VK147-1,Uncategorized,SvePotrebno,VK147,DIOPTRIJSKI OKVIR MAT CRNA 028K M,dioptrijski-okvir-mat-crna-028k-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,MAT PLAVA 0U43,M,Plastika,80,49,42,18,140,130,VK147-2,Uncategorized,SvePotrebno,VK147,DIOPTRIJSKI OKVIR MAT PLAVA 0U43 M,dioptrijski-okvir-mat-plava-0u43-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,MAT TAMNO/SVJETLO PLAVA D36M,M,Plastika,80,49,42,18,140,130,VK147-3,Uncategorized,SvePotrebno,VK147,DIOPTRIJSKI OKVIR MAT TAMNO/SVJETLO PLAVA D36M M,dioptrijski-okvir-mat-tamno-svjetlo-plava-d36m-m
DIOPTRIJSKI OKVIR,POLICE,,Ovalni,MAT PLAVA V15M,S,Plastika,80,48,42,17,140,128,VK146,Uncategorized,SvePotrebno,VK146,DIOPTRIJSKI OKVIR MAT PLAVA V15M S,dioptrijski-okvir-mat-plava-v15m-s
DIOPTRIJSKI OKVIR,POLICE,,Ovalni,MAT PLAVA V15M,S,Plastika,80,48,42,17,140,128,VK146-1,Uncategorized,SvePotrebno,VK146,DIOPTRIJSKI OKVIR MAT PLAVA V15M S,dioptrijski-okvir-mat-plava-v15m-s-1
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,SJAJNA PLAVA 09DD,S,Acetat,80,49,38,16,135,128,VK140,Uncategorized,SvePotrebno,VK140,DIOPTRIJSKI OKVIR SJAJNA PLAVA 09DD S,dioptrijski-okvir-sjajna-plava-09dd-s
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,SJAJNA PLAVA 09DD,S,Acetat,80,49,38,16,135,128,VK140-1,Uncategorized,SvePotrebno,VK140,DIOPTRIJSKI OKVIR SJAJNA PLAVA 09DD S,dioptrijski-okvir-sjajna-plava-09dd-s-1
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,"CRNA 0Z42,PLAVA 7RRM",M,Plastika,80,52,39,15,135,133,VK128,Uncategorized,SvePotrebno,VK128,"DIOPTRIJSKI OKVIR CRNA 0Z42,PLAVA 7RRM M",dioptrijski-okvir-crna-0z42plava-7rrm-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,CRNA 0Z42,M,Plastika,80,52,39,15,135,133,VK128-1,Uncategorized,SvePotrebno,VK128,DIOPTRIJSKI OKVIR CRNA 0Z42 M,dioptrijski-okvir-crna-0z42-m-1
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,PLAVA 7RRM,M,Plastika,80,52,39,15,135,133,VK128-2,Uncategorized,SvePotrebno,VK128,DIOPTRIJSKI OKVIR PLAVA 7RRM M,dioptrijski-okvir-plava-7rrm-m
DIOPTRIJSKI OKVIR+CLIP ON,POLICE,,Četvrtasti,"MAT PLAVA 7FSP,MAT CRNA U28P",M,Plastika,105,50,41,16,135,130,UK143,Uncategorized,SvePotrebno,UK143,"DIOPTRIJSKI OKVIR+CLIP ON MAT PLAVA 7FSP,MAT CRNA U28P M",dioptrijski-okvirclip-on-mat-plava-7fspmat-crna-u28p-m
DIOPTRIJSKI OKVIR+CLIP ON,POLICE,,Četvrtasti,MAT PLAVA 7FSP,M,Plastika,105,50,41,16,135,130,UK143-1,Uncategorized,SvePotrebno,UK143,DIOPTRIJSKI OKVIR+CLIP ON MAT PLAVA 7FSP M,dioptrijski-okvirclip-on-mat-plava-7fsp-m
DIOPTRIJSKI OKVIR+CLIP ON,POLICE,,Četvrtasti,MAT CRNA U28P,M,Plastika,105,50,41,16,135,130,UK143-2,Uncategorized,SvePotrebno,UK143,DIOPTRIJSKI OKVIR+CLIP ON MAT CRNA U28P M,dioptrijski-okvirclip-on-mat-crna-u28p-m
DIOPTRIJSKI OKVIR,POLICE,,Okrugao,SJAJ CRNA 1DYK,M,Acetat,90,49,45,18,135,130,VK098,Uncategorized,SvePotrebno,VK098,DIOPTRIJSKI OKVIR SJAJ CRNA 1DYK M,dioptrijski-okvir-sjaj-crna-1dyk-m
DIOPTRIJSKI OKVIR,POLICE,,Okrugao,SJAJ CRNA 1DYK,M,Acetat,90,49,45,18,135,130,VK098-1,Uncategorized,SvePotrebno,VK098,DIOPTRIJSKI OKVIR SJAJ CRNA 1DYK M,dioptrijski-okvir-sjaj-crna-1dyk-m-1
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,"TRANSP.GREY 03GU,TRANSP.PLAVA 0AGQ",M,Acetat,80,50,45,16,135,132,VK144,Uncategorized,SvePotrebno,VK144,"DIOPTRIJSKI OKVIR TRANSP.GREY 03GU,TRANSP.PLAVA 0AGQ M",dioptrijski-okvir-transpgrey-03gutranspplava-0agq-m
DIOPTRIJSKI OKVIR,POLICE,,Četvrtasti,TRANSP.GREY 03GU,M,Acetat,80,50,45,16,135,132,VK144-1,Uncategorized,SvePotrebno,VK144,DIOPTRIJSKI OKVIR TRANSP.GREY 03GU M,dioptrijski-okvir-transpgrey-03gu-m
