Šifra modela,Veličina,Šifra boje,Ime branda,MPC,Vodič za veličinu,Spol,Oblik,Tip,Opis naziva modela,Boja prednjeg dijela,Materijal prednjeg dijela,Širina leće,Visina leće,Materijal ručkice,Dužina ručkice,Veličina mosta,Privremeno ime,Kategorija,AtributSet,PrivremenoIme2,Slika,Naziv final,slug
0RX5429,53,2000,RAY-BAN VISTA,146,"M,S",Unisex,Ovalni,Puni okvir,GERMAN,"Crna,Havana",Acetat,53,42,Acetat,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5429__2000,"Dioptrijski okvir RAY-BAN VISTA M,S Crna,Havana",dioptrijski-okvir-rayban-vista-ms-crnahavana
0RX5429-1,53,2000,RAY-BAN VISTA,146,M,Unisex,Ovalni,Puni okvir,GERMAN,Crna,Acetat,53,42,Acetat,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5429__2000,Dioptrijski okvir RAY-BAN VISTA M Crna,dioptrijski-okvir-rayban-vista-m-crna-3
0RX5429-2,51,2012,RAY-BAN VISTA,146,S,Unisex,Ovalni,Puni okvir,GERMAN,Havana,Acetat,51,40,Acetat,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5429__2012,Dioptrijski okvir RAY-BAN VISTA S Havana,dioptrijski-okvir-rayban-vista-s-havana
0RX5430,51,2000,RAY-BAN VISTA,146,M,Unisex,Phantos,Puni okvir,BERNARD,Crna,Acetat,51,47,Acetat,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5430__2000,Dioptrijski okvir RAY-BAN VISTA M Crna,dioptrijski-okvir-rayban-vista-m-crna-4
0RX5430-1,51,2000,RAY-BAN VISTA,146,M,Unisex,Phantos,Puni okvir,BERNARD,Crna,Acetat,51,47,Acetat,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5430__2000,Dioptrijski okvir RAY-BAN VISTA M Crna,dioptrijski-okvir-rayban-vista-m-crna-5
0RX6275,54,2502,RAY-BAN VISTA,155,M,Unisex,Četvrtasti,Puni okvir,,"Gunmetal,Crna",Metal,54,34,Metal,145,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6275__2502,"Dioptrijski okvir RAY-BAN VISTA M Gunmetal,Crna",dioptrijski-okvir-rayban-vista-m-gunmetalcrna
0RX6275-1,54,2502,RAY-BAN VISTA,155,M,Unisex,Četvrtasti,Puni okvir,,Gunmetal,Metal,54,34,Metal,145,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6275__2502,Dioptrijski okvir RAY-BAN VISTA M Gunmetal,dioptrijski-okvir-rayban-vista-m-gunmetal-2
0RX6275-2,54,2503,RAY-BAN VISTA,155,M,Unisex,Četvrtasti,Puni okvir,,Crna,Metal,54,34,Metal,145,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6275__2503,Dioptrijski okvir RAY-BAN VISTA M Crna,dioptrijski-okvir-rayban-vista-m-crna-6
0RX6285,53,2502,RAY-BAN VISTA,160,M,Unisex,Četvrtasti,Poluotvoreni okvir,,"Gunmetal,Crna",Metal,53,33,Aluminij,140,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6285__2502,"Dioptrijski okvir RAY-BAN VISTA M Gunmetal,Crna",dioptrijski-okvir-rayban-vista-m-gunmetalcrna-1
0RX6285-1,53,2502,RAY-BAN VISTA,160,M,Unisex,Četvrtasti,Poluotvoreni okvir,,Gunmetal,Metal,53,33,Aluminij,140,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6285__2502,Dioptrijski okvir RAY-BAN VISTA M Gunmetal,dioptrijski-okvir-rayban-vista-m-gunmetal-3
0RX6285-2,53,2503,RAY-BAN VISTA,160,M,Unisex,Četvrtasti,Poluotvoreni okvir,,Crna,Metal,53,33,Aluminij,140,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6285__2503,Dioptrijski okvir RAY-BAN VISTA M Crna,dioptrijski-okvir-rayban-vista-m-crna-7
0RX6335,58,2503,RAY-BAN VISTA,150,L,Unisex,Četvrtasti,Poluotvoreni okvir,,"Crna,Gunmetal",Metal,58,39,Injektirani,150,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6335__2503,"Dioptrijski okvir RAY-BAN VISTA L Crna,Gunmetal",dioptrijski-okvir-rayban-vista-l-crnagunmetal
0RX6335-1,58,2503,RAY-BAN VISTA,150,L,Unisex,Četvrtasti,Poluotvoreni okvir,,Crna,Metal,58,39,Injektirani,150,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6335__2503,Dioptrijski okvir RAY-BAN VISTA L Crna,dioptrijski-okvir-rayban-vista-l-crna-2
0RX6335-2,56,2855,RAY-BAN VISTA,150,L,Unisex,Četvrtasti,Poluotvoreni okvir,,Gunmetal,Metal,56,37,Injektirani,145,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6335__2855,Dioptrijski okvir RAY-BAN VISTA L Gunmetal,dioptrijski-okvir-rayban-vista-l-gunmetal-2
0RX6355,52,2620,RAY-BAN VISTA,165,"M,S",Unisex,Phantos,Puni okvir,,"Gunmetal,Crna",Metal,52,45,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6355__2620,"Dioptrijski okvir RAY-BAN VISTA M,S Gunmetal,Crna",dioptrijski-okvir-rayban-vista-ms-gunmetalcrna
0RX6355-1,52,2620,RAY-BAN VISTA,165,M,Unisex,Phantos,Puni okvir,,Gunmetal,Metal,52,45,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6355__2620,Dioptrijski okvir RAY-BAN VISTA M Gunmetal,dioptrijski-okvir-rayban-vista-m-gunmetal-4
0RX6355-2,50,3098,RAY-BAN VISTA,165,S,Unisex,Phantos,Puni okvir,,Crna,Metal,50,44,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6355__3098,Dioptrijski okvir RAY-BAN VISTA S Crna,dioptrijski-okvir-rayban-vista-s-crna-5
0RX6363,54,2553,RAY-BAN VISTA,146,L,Unisex,Kvadratni,Puni okvir,,"Gunmetal,Crna na Srebrna",Metal,54,40,Injektirani,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6363__2553,"Dioptrijski okvir RAY-BAN VISTA L Gunmetal,Crna na Srebrna",dioptrijski-okvir-rayban-vista-l-gunmetalcrna-na-srebrna
0RX6363-1,54,2553,RAY-BAN VISTA,146,L,Unisex,Kvadratni,Puni okvir,,Gunmetal,Metal,54,40,Injektirani,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6363__2553,Dioptrijski okvir RAY-BAN VISTA L Gunmetal,dioptrijski-okvir-rayban-vista-l-gunmetal-3
0RX6363-2,54,2861,RAY-BAN VISTA,146,L,Unisex,Kvadratni,Puni okvir,,Crna na Srebrna,Metal,54,40,Injektirani,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6363__2861,Dioptrijski okvir RAY-BAN VISTA L Crna na Srebrna,dioptrijski-okvir-rayban-vista-l-crna-na-srebrna
0RX6375,51,2861,RAY-BAN VISTA,135,"S,M",Unisex,Phantos,Puni okvir,,"Crna na Srebrna,Crna",Metal,51,43,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6375__2861,"Dioptrijski okvir RAY-BAN VISTA S,M Crna na Srebrna,Crna",dioptrijski-okvir-rayban-vista-sm-crna-na-srebrnacrna
0RX6375-1,51,2861,RAY-BAN VISTA,135,S,Unisex,Phantos,Puni okvir,,Crna na Srebrna,Metal,51,43,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6375__2861,Dioptrijski okvir RAY-BAN VISTA S Crna na Srebrna,dioptrijski-okvir-rayban-vista-s-crna-na-srebrna
0RX6375-2,53,2861,RAY-BAN VISTA,135,M,Unisex,Phantos,Puni okvir,,Crna na Srebrna,Metal,53,45,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6375__2861,Dioptrijski okvir RAY-BAN VISTA M Crna na Srebrna,dioptrijski-okvir-rayban-vista-m-crna-na-srebrna
0RX6375-3,51,2944,RAY-BAN VISTA,135,S,Unisex,Phantos,Puni okvir,,Crna,Metal,51,43,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6375__2944,Dioptrijski okvir RAY-BAN VISTA S Crna,dioptrijski-okvir-rayban-vista-s-crna-6
0RX6375-4,53,2944,RAY-BAN VISTA,135,M,Unisex,Phantos,Puni okvir,,Crna,Metal,53,45,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6375__2944,Dioptrijski okvir RAY-BAN VISTA M Crna,dioptrijski-okvir-rayban-vista-m-crna-8
0RX6421,54,2997,RAY-BAN VISTA,146,"L,XL",Unisex,Kvadratni,Poluotvoreni okvir,,Crna na Srebrna,Metal,54,41,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6421__2997,"Dioptrijski okvir RAY-BAN VISTA L,XL Crna na Srebrna",dioptrijski-okvir-rayban-vista-lxl-crna-na-srebrna
0RX6421-1,54,2997,RAY-BAN VISTA,146,L,Unisex,Kvadratni,Poluotvoreni okvir,,Crna na Srebrna,Metal,54,41,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6421__2997,Dioptrijski okvir RAY-BAN VISTA L Crna na Srebrna,dioptrijski-okvir-rayban-vista-l-crna-na-srebrna-1
0RX6421-2,56,2997,RAY-BAN VISTA,146,XL,Unisex,Kvadratni,Poluotvoreni okvir,,Crna na Srebrna,Metal,56,43,Metal,150,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6421__2997,Dioptrijski okvir RAY-BAN VISTA XL Crna na Srebrna,dioptrijski-okvir-rayban-vista-xl-crna-na-srebrna
0RX6448,54,2500,RAY-BAN VISTA,146,"L,XS,M",Unisex,Nepravilan,Puni okvir,HEXAGONAL,"Arista zlatna,Srebrna,Crna na Zlatna,Havana smeđa na ružičasto zlatnoj",Metal,54,47,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6448__2500,"Dioptrijski okvir RAY-BAN VISTA L,XS,M Arista zlatna,Srebrna,Crna na Zlatna,Havana smeđa na ružičasto zlatnoj",dioptrijski-okvir-rayban-vista-lxsm-arista-zlatnasrebrnacrna-na-zlatnahavana-smeda-na-ruzicasto-zlatnoj
0RX6448-1,54,2500,RAY-BAN VISTA,146,L,Unisex,Nepravilan,Puni okvir,HEXAGONAL,Arista zlatna,Metal,54,47,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6448__2500,Dioptrijski okvir RAY-BAN VISTA L Arista zlatna,dioptrijski-okvir-rayban-vista-l-arista-zlatna
0RX6448-2,48,2501,RAY-BAN VISTA,146,XS,Unisex,Nepravilan,Puni okvir,HEXAGONAL,Srebrna,Metal,48,42,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6448__2501,Dioptrijski okvir RAY-BAN VISTA XS Srebrna,dioptrijski-okvir-rayban-vista-xs-srebrna-2
0RX6448-3,51,2501,RAY-BAN VISTA,146,M,Unisex,Nepravilan,Puni okvir,HEXAGONAL,Srebrna,Metal,51,45,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6448__2501,Dioptrijski okvir RAY-BAN VISTA M Srebrna,dioptrijski-okvir-rayban-vista-m-srebrna-2
0RX6448-4,54,3175,RAY-BAN VISTA,146,L,Unisex,Nepravilan,Puni okvir,HEXAGONAL,Crna na Zlatna,Metal,54,47,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6448__3175,Dioptrijski okvir RAY-BAN VISTA L Crna na Zlatna,dioptrijski-okvir-rayban-vista-l-crna-na-zlatna
0RX6448-5,51,3176,RAY-BAN VISTA,146,M,Unisex,Nepravilan,Puni okvir,HEXAGONAL,Havana smeđa na ružičasto zlatnoj,Metal,51,45,Metal,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6448__3176,Dioptrijski okvir RAY-BAN VISTA M Havana smeđa na ružičasto zlatnoj,dioptrijski-okvir-rayban-vista-m-havana-smeda-na-ruzicasto-zlatnoj
0RX6465,49,2943,RAY-BAN VISTA,146,S,Unisex,Nepravilan,Puni okvir,JACK,Bakar,Metal,49,44,Metal,140,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6465__2943,Dioptrijski okvir RAY-BAN VISTA S Bakar,dioptrijski-okvir-rayban-vista-s-bakar
0RX6465-1,49,2943,RAY-BAN VISTA,146,S,Unisex,Nepravilan,Puni okvir,JACK,Bakar,Metal,49,44,Metal,140,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6465__2943,Dioptrijski okvir RAY-BAN VISTA S Bakar,dioptrijski-okvir-rayban-vista-s-bakar-1
0RX6487,52,2502,RAY-BAN VISTA,132,M,Unisex,Kvadratni,Poluotvoreni okvir,,Gunmetal,Metal,52,44,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6487__2502,Dioptrijski okvir RAY-BAN VISTA M Gunmetal,dioptrijski-okvir-rayban-vista-m-gunmetal-5
0RX6487-1,52,2502,RAY-BAN VISTA,132,M,Unisex,Kvadratni,Poluotvoreni okvir,,Gunmetal,Metal,52,44,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6487__2502,Dioptrijski okvir RAY-BAN VISTA M Gunmetal,dioptrijski-okvir-rayban-vista-m-gunmetal-6
0RX6494,54,2861,RAY-BAN VISTA,165,"L,XL",Muškarci,Zaobljeni četvrtasti,Puni okvir,,"Crna na Srebrna,Crna,Plava na srebrnoj",Metal,54,41,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6494__2861,"Dioptrijski okvir RAY-BAN VISTA L,XL Crna na Srebrna,Crna,Plava na srebrnoj",dioptrijski-okvir-rayban-vista-lxl-crna-na-srebrnacrnaplava-na-srebrnoj
0RX6494-1,54,2861,RAY-BAN VISTA,165,L,Muškarci,Zaobljeni četvrtasti,Puni okvir,,Crna na Srebrna,Metal,54,41,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6494__2861,Dioptrijski okvir RAY-BAN VISTA L Crna na Srebrna,dioptrijski-okvir-rayban-vista-l-crna-na-srebrna-2
0RX6494-2,56,2904,RAY-BAN VISTA,165,XL,Muškarci,Zaobljeni četvrtasti,Puni okvir,,Crna,Metal,56,42,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6494__2904,Dioptrijski okvir RAY-BAN VISTA XL Crna,dioptrijski-okvir-rayban-vista-xl-crna
0RX6494-3,54,3155,RAY-BAN VISTA,165,L,Muškarci,Zaobljeni četvrtasti,Puni okvir,,Plava na srebrnoj,Metal,54,41,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6494__3155,Dioptrijski okvir RAY-BAN VISTA L Plava na srebrnoj,dioptrijski-okvir-rayban-vista-l-plava-na-srebrnoj
0RX6496,51,2500,RAY-BAN VISTA,146,"M,L",Unisex,Nepravilan,Puni okvir,,"Arista zlatna,Gunmetal",Metal,51,42,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6496__2500,"Dioptrijski okvir RAY-BAN VISTA M,L Arista zlatna,Gunmetal",dioptrijski-okvir-rayban-vista-ml-arista-zlatnagunmetal
0RX6496-1,51,2500,RAY-BAN VISTA,146,M,Unisex,Nepravilan,Puni okvir,,Arista zlatna,Metal,51,42,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6496__2500,Dioptrijski okvir RAY-BAN VISTA M Arista zlatna,dioptrijski-okvir-rayban-vista-m-arista-zlatna
0RX6496-2,53,2502,RAY-BAN VISTA,146,L,Unisex,Nepravilan,Puni okvir,,Gunmetal,Metal,53,43,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6496__2502,Dioptrijski okvir RAY-BAN VISTA L Gunmetal,dioptrijski-okvir-rayban-vista-l-gunmetal-4
0RX6503D,55,2501,RAY-BAN VISTA,132,L,Unisex,Nepravilan,Puni okvir,,"Srebrna,Bakar",Metal,55,50,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6503D__2501,"Dioptrijski okvir RAY-BAN VISTA L Srebrna,Bakar",dioptrijski-okvir-rayban-vista-l-srebrnabakar
0RX6503D-1,55,2501,RAY-BAN VISTA,132,L,Unisex,Nepravilan,Puni okvir,,Srebrna,Metal,55,50,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6503D__2501,Dioptrijski okvir RAY-BAN VISTA L Srebrna,dioptrijski-okvir-rayban-vista-l-srebrna-1
0RX6503D-2,55,2943,RAY-BAN VISTA,132,L,Unisex,Nepravilan,Puni okvir,,Bakar,Metal,55,50,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6503D__2943,Dioptrijski okvir RAY-BAN VISTA L Bakar,dioptrijski-okvir-rayban-vista-l-bakar
0RX6509,51,2502,RAY-BAN VISTA,146,"M,L",Unisex,Phantos,Puni okvir,,Gunmetal,Metal,51,45,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6509__2502,"Dioptrijski okvir RAY-BAN VISTA M,L Gunmetal",dioptrijski-okvir-rayban-vista-ml-gunmetal
0RX6509-1,51,2502,RAY-BAN VISTA,146,M,Unisex,Phantos,Puni okvir,,Gunmetal,Metal,51,45,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6509__2502,Dioptrijski okvir RAY-BAN VISTA M Gunmetal,dioptrijski-okvir-rayban-vista-m-gunmetal-7
0RX6509-2,53,2502,RAY-BAN VISTA,146,L,Unisex,Phantos,Puni okvir,,Gunmetal,Metal,53,47,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6509__2502,Dioptrijski okvir RAY-BAN VISTA L Gunmetal,dioptrijski-okvir-rayban-vista-l-gunmetal-5
0RX6512,52,2593,RAY-BAN VISTA,155,S,Unisex,Kvadratni,Puni okvir,,Tamnosmeđa,Metal,52,45,Acetat,140,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6512__2593,Dioptrijski okvir RAY-BAN VISTA S Tamnosmeđa,dioptrijski-okvir-rayban-vista-s-tamnosmeda
0RX6512-1,52,2593,RAY-BAN VISTA,155,S,Unisex,Kvadratni,Puni okvir,,Tamnosmeđa,Metal,52,45,Acetat,140,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6512__2593,Dioptrijski okvir RAY-BAN VISTA S Tamnosmeđa,dioptrijski-okvir-rayban-vista-s-tamnosmeda-1
0RX6513,53,3161,RAY-BAN VISTA,174,"L,XL",Unisex,Nepravilan,Poluotvoreni okvir,,Crna,Metal,53,38,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6513__3161,"Dioptrijski okvir RAY-BAN VISTA L,XL Crna",dioptrijski-okvir-rayban-vista-lxl-crna
0RX6513-1,53,3161,RAY-BAN VISTA,174,L,Unisex,Nepravilan,Poluotvoreni okvir,,Crna,Metal,53,38,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6513__3161,Dioptrijski okvir RAY-BAN VISTA L Crna,dioptrijski-okvir-rayban-vista-l-crna-3
0RX6513-2,55,3161,RAY-BAN VISTA,174,XL,Unisex,Nepravilan,Poluotvoreni okvir,,Crna,Metal,55,39,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6513__3161,Dioptrijski okvir RAY-BAN VISTA XL Crna,dioptrijski-okvir-rayban-vista-xl-crna-1
0RX6518,57,3163,RAY-BAN VISTA,174,XXL,Unisex,Kvadratni,Puni okvir,,Crna na Srebrna,Metal,57,42,Metal,150,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6518__3163,Dioptrijski okvir RAY-BAN VISTA XXL Crna na Srebrna,dioptrijski-okvir-rayban-vista-xxl-crna-na-srebrna
0RX6518-1,57,3163,RAY-BAN VISTA,174,XXL,Unisex,Kvadratni,Puni okvir,,Crna na Srebrna,Metal,57,42,Metal,150,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6518__3163,Dioptrijski okvir RAY-BAN VISTA XXL Crna na Srebrna,dioptrijski-okvir-rayban-vista-xxl-crna-na-srebrna-1
0RX6528,56,2501,RAY-BAN VISTA,125,"L,M",Unisex,Nepravilan,Puni okvir,YEVI,"Srebrna,Bakar",Metal,56,35,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6528__2501,"Dioptrijski okvir RAY-BAN VISTA L,M Srebrna,Bakar",dioptrijski-okvir-rayban-vista-lm-srebrnabakar
0RX6528-1,56,2501,RAY-BAN VISTA,125,L,Unisex,Nepravilan,Puni okvir,YEVI,Srebrna,Metal,56,35,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6528__2501,Dioptrijski okvir RAY-BAN VISTA L Srebrna,dioptrijski-okvir-rayban-vista-l-srebrna-2
0RX6528-2,54,2943,RAY-BAN VISTA,125,M,Unisex,Nepravilan,Puni okvir,YEVI,Bakar,Metal,54,34,Metal,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX6528__2943,Dioptrijski okvir RAY-BAN VISTA M Bakar,dioptrijski-okvir-rayban-vista-m-bakar
0RX7017,54,5196,RAY-BAN VISTA,155,XL,Unisex,Četvrtasti,Puni okvir,,Crna,Injektirani,54,33,Metal,145,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7017__5196,Dioptrijski okvir RAY-BAN VISTA XL Crna,dioptrijski-okvir-rayban-vista-xl-crna-2
0RX7017-1,54,5196,RAY-BAN VISTA,155,XL,Unisex,Četvrtasti,Puni okvir,,Crna,Injektirani,54,33,Metal,145,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7017__5196,Dioptrijski okvir RAY-BAN VISTA XL Crna,dioptrijski-okvir-rayban-vista-xl-crna-3
0RX7046,51,5364,RAY-BAN VISTA,123,S,Žene,Okrugli,Puni okvir,ERIKA,"Guma crna,Havana",Injektirani,51,44,Injektirani,140,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7046__5364,"Dioptrijski okvir RAY-BAN VISTA S Guma crna,Havana",dioptrijski-okvir-rayban-vista-s-guma-crnahavana
0RX7046-1,51,5364,RAY-BAN VISTA,123,S,Žene,Okrugli,Puni okvir,ERIKA,Guma crna,Injektirani,51,44,Injektirani,140,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7046__5364,Dioptrijski okvir RAY-BAN VISTA S Guma crna,dioptrijski-okvir-rayban-vista-s-guma-crna
0RX7046-2,51,5365,RAY-BAN VISTA,123,S,Žene,Okrugli,Puni okvir,ERIKA,Havana,Injektirani,51,44,Injektirani,140,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7046__5365,Dioptrijski okvir RAY-BAN VISTA S Havana,dioptrijski-okvir-rayban-vista-s-havana-1
0RX7047,54,5450,RAY-BAN VISTA,123,M,Unisex,Kvadratni,Puni okvir,,Transparentna plava,Injektirani,54,37,Injektirani,140,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7047__5450,Dioptrijski okvir RAY-BAN VISTA M Transparentna plava,dioptrijski-okvir-rayban-vista-m-transparentna-plava
0RX7047-1,54,5450,RAY-BAN VISTA,123,M,Unisex,Kvadratni,Puni okvir,,Transparentna plava,Injektirani,54,37,Injektirani,140,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7047__5450,Dioptrijski okvir RAY-BAN VISTA M Transparentna plava,dioptrijski-okvir-rayban-vista-m-transparentna-plava-1
0RX7140,49,2000,RAY-BAN VISTA,165,"S,L",Žene,Phantos,Puni okvir,,"Crna,Transparentna,Havana",Injektirani,49,44,Metal,150,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7140__2000,"Dioptrijski okvir RAY-BAN VISTA S,L Crna,Transparentna,Havana",dioptrijski-okvir-rayban-vista-sl-crnatransparentnahavana
0RX7140-1,49,2000,RAY-BAN VISTA,165,S,Žene,Phantos,Puni okvir,,Crna,Injektirani,49,44,Metal,150,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7140__2000,Dioptrijski okvir RAY-BAN VISTA S Crna,dioptrijski-okvir-rayban-vista-s-crna-7
0RX7140-2,51,2000,RAY-BAN VISTA,165,L,Žene,Phantos,Puni okvir,,Crna,Injektirani,51,46,Metal,150,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX7140__2000,Dioptrijski okvir RAY-BAN VISTA L Crna,dioptrijski-okvir-rayban-vista-l-crna-4
