Šifra modela,Veličina,Šifra boje,Ime branda,MPC,Vodič za veličinu,Spol,Oblik,Tip,Opis naziva modela,Boja prednjeg dijela,Materijal prednjeg dijela,Širina leće,Visina leće,Materijal ručkice,Dužina ručkice,Veličina mosta,Privremeno ime,Kategorija,AtributSet,PrivremenoIme2,Slika,Naziv final,slug
0RX3637V-4,50,3094,RAY-BAN VISTA,155,XS,Unisex,Phantos,Puni okvir,NEW ROUND,Ružičasto zlatna,Metal,50,47,Metal,140,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3637V__3094,Dioptrijski okvir RAY-BAN VISTA XS Ružičasto zlatna,dioptrijski-okvir-rayban-vista-xs-ruzicasto-zlatna
0RX3681V,50,2500,RAY-BAN VISTA,113,"S,XS",Unisex,Phantos,Puni okvir,,"Arista zlatna,Srebrna,Gunmetal,Crna",Metal,50,47,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3681V__2500,"Dioptrijski okvir RAY-BAN VISTA S,XS Arista zlatna,Srebrna,Gunmetal,Crna",dioptrijski-okvir-rayban-vista-sxs-arista-zlatnasrebrnagunmetalcrna
0RX3681V-1,50,2500,RAY-BAN VISTA,113,S,Unisex,Phantos,Puni okvir,,Arista zlatna,Metal,50,47,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3681V__2500,Dioptrijski okvir RAY-BAN VISTA S Arista zlatna,dioptrijski-okvir-rayban-vista-s-arista-zlatna-1
0RX3681V-2,50,2501,RAY-BAN VISTA,113,S,Unisex,Phantos,Puni okvir,,Srebrna,Metal,50,47,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3681V__2501,Dioptrijski okvir RAY-BAN VISTA S Srebrna,dioptrijski-okvir-rayban-vista-s-srebrna
0RX3681V-3,48,2502,RAY-BAN VISTA,113,XS,Unisex,Phantos,Puni okvir,,Gunmetal,Metal,48,45,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3681V__2502,Dioptrijski okvir RAY-BAN VISTA XS Gunmetal,dioptrijski-okvir-rayban-vista-xs-gunmetal
0RX3681V-4,50,2509,RAY-BAN VISTA,115,S,Unisex,Phantos,Puni okvir,,Crna,Metal,50,47,Metal,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3681V__2509,Dioptrijski okvir RAY-BAN VISTA S Crna,dioptrijski-okvir-rayban-vista-s-crna-1
0RX3691V,48,2500,RAY-BAN VISTA,132,XXS,Unisex,Phantos,Puni okvir,,Arista zlatna,Metal,48,47,Acetat,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3691V__2500,Dioptrijski okvir RAY-BAN VISTA XXS Arista zlatna,dioptrijski-okvir-rayban-vista-xxs-arista-zlatna
0RX3691V-1,48,2500,RAY-BAN VISTA,132,XXS,Unisex,Phantos,Puni okvir,,Arista zlatna,Metal,48,47,Acetat,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3691V__2500,Dioptrijski okvir RAY-BAN VISTA XXS Arista zlatna,dioptrijski-okvir-rayban-vista-xxs-arista-zlatna-1
0RX3694V,51,2501,RAY-BAN VISTA,146,"M,L",Unisex,Nepravilan,Puni okvir,JIM,"Srebrna,Havana smeđa na srebrnoj",Metal,51,43,Metal,140,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3694V__2501,"Dioptrijski okvir RAY-BAN VISTA M,L Srebrna,Havana smeđa na srebrnoj",dioptrijski-okvir-rayban-vista-ml-srebrnahavana-smeda-na-srebrnoj
0RX3694V-1,51,2501,RAY-BAN VISTA,146,M,Unisex,Nepravilan,Puni okvir,JIM,Srebrna,Metal,51,43,Metal,140,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3694V__2501,Dioptrijski okvir RAY-BAN VISTA M Srebrna,dioptrijski-okvir-rayban-vista-m-srebrna-1
0RX3694V-2,53,2501,RAY-BAN VISTA,146,L,Unisex,Nepravilan,Puni okvir,JIM,Srebrna,Metal,53,45,Metal,140,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3694V__2501,Dioptrijski okvir RAY-BAN VISTA L Srebrna,dioptrijski-okvir-rayban-vista-l-srebrna
0RX3694V-3,51,3178,RAY-BAN VISTA,146,M,Unisex,Nepravilan,Puni okvir,JIM,Havana smeđa na srebrnoj,Metal,51,43,Metal,140,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3694V__3178,Dioptrijski okvir RAY-BAN VISTA M Havana smeđa na srebrnoj,dioptrijski-okvir-rayban-vista-m-havana-smeda-na-srebrnoj
0RX3716VM,50,2904,RAY-BAN VISTA,165,L,Unisex,Kvadratni,Poluotvoreni okvir,CLUBMASTER METAL,Crna,Metal,50,43,Metal,145,22,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3716VM__2904,Dioptrijski okvir RAY-BAN VISTA L Crna,dioptrijski-okvir-rayban-vista-l-crna
0RX3716VM-1,50,2904,RAY-BAN VISTA,165,L,Unisex,Kvadratni,Poluotvoreni okvir,CLUBMASTER METAL,Crna,Metal,50,43,Metal,145,22,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3716VM__2904,Dioptrijski okvir RAY-BAN VISTA L Crna,dioptrijski-okvir-rayban-vista-l-crna-1
0RX3717V,54,2502,RAY-BAN VISTA,155,L,Unisex,Četvrtasti,Puni okvir,,Gunmetal,Metal,54,37,Metal,140,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3717V__2502,Dioptrijski okvir RAY-BAN VISTA L Gunmetal,dioptrijski-okvir-rayban-vista-l-gunmetal
0RX3717V-1,54,2502,RAY-BAN VISTA,155,L,Unisex,Četvrtasti,Puni okvir,,Gunmetal,Metal,54,37,Metal,140,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3717V__2502,Dioptrijski okvir RAY-BAN VISTA L Gunmetal,dioptrijski-okvir-rayban-vista-l-gunmetal-1
0RX3947V,48,2501,RAY-BAN VISTA,146,"XS,S",Unisex,Okrugli,Poluotvoreni okvir,ROUND GAZE,"Srebrna,Crna",Metal,48,45,Metal,140,22,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3947V__2501,"Dioptrijski okvir RAY-BAN VISTA XS,S Srebrna,Crna",dioptrijski-okvir-rayban-vista-xss-srebrnacrna
0RX3947V-1,48,2501,RAY-BAN VISTA,146,XS,Unisex,Okrugli,Poluotvoreni okvir,ROUND GAZE,Srebrna,Metal,48,45,Metal,140,22,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3947V__2501,Dioptrijski okvir RAY-BAN VISTA XS Srebrna,dioptrijski-okvir-rayban-vista-xs-srebrna-1
0RX3947V-2,51,2501,RAY-BAN VISTA,146,S,Unisex,Okrugli,Poluotvoreni okvir,ROUND GAZE,Srebrna,Metal,51,48,Metal,145,22,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3947V__2501,Dioptrijski okvir RAY-BAN VISTA S Srebrna,dioptrijski-okvir-rayban-vista-s-srebrna-1
0RX3947V-3,51,2509,RAY-BAN VISTA,146,S,Unisex,Okrugli,Poluotvoreni okvir,ROUND GAZE,Crna,Metal,51,48,Metal,145,22,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX3947V__2509,Dioptrijski okvir RAY-BAN VISTA S Crna,dioptrijski-okvir-rayban-vista-s-crna-2
0RX5283,51,2012,RAY-BAN VISTA,155,M,Unisex,Phantos,Puni okvir,,Tamna havana,Acetat,51,43,Acetat,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5283__2012,Dioptrijski okvir RAY-BAN VISTA M Tamna havana,dioptrijski-okvir-rayban-vista-m-tamna-havana
0RX5283-1,51,2012,RAY-BAN VISTA,155,M,Unisex,Phantos,Puni okvir,,Tamna havana,Acetat,51,43,Acetat,145,21,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5283__2012,Dioptrijski okvir RAY-BAN VISTA M Tamna havana,dioptrijski-okvir-rayban-vista-m-tamna-havana-1
0RX5387,54,2000,RAY-BAN VISTA,123,"S,XS",Unisex,Kvadratni,Puni okvir,,"Crna,Prugasta plava",Acetat,54,46,Acetat,150,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5387__2000,"Dioptrijski okvir RAY-BAN VISTA S,XS Crna,Prugasta plava",dioptrijski-okvir-rayban-vista-sxs-crnaprugasta-plava
0RX5387-1,54,2000,RAY-BAN VISTA,123,S,Unisex,Kvadratni,Puni okvir,,Crna,Acetat,54,46,Acetat,150,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5387__2000,Dioptrijski okvir RAY-BAN VISTA S Crna,dioptrijski-okvir-rayban-vista-s-crna-3
0RX5387-2,52,2000,RAY-BAN VISTA,123,XS,Unisex,Kvadratni,Puni okvir,,Crna,Acetat,52,44,Acetat,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5387__2000,Dioptrijski okvir RAY-BAN VISTA XS Crna,dioptrijski-okvir-rayban-vista-xs-crna
0RX5387-3,54,8361,RAY-BAN VISTA,123,S,Unisex,Kvadratni,Puni okvir,,Prugasta plava,Acetat,54,46,Acetat,150,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5387__8361,Dioptrijski okvir RAY-BAN VISTA S Prugasta plava,dioptrijski-okvir-rayban-vista-s-prugasta-plava
0RX5393,51,2000,RAY-BAN VISTA,146,"XS,XXS",Unisex,Kvadratni,Puni okvir,LEONARD,"Crna,Havana,Prugasta siva",Acetat,51,41,Acetat,145,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5393__2000,"Dioptrijski okvir RAY-BAN VISTA XS,XXS Crna,Havana,Prugasta siva",dioptrijski-okvir-rayban-vista-xsxxs-crnahavanaprugasta-siva
0RX5393-1,51,2000,RAY-BAN VISTA,146,XS,Unisex,Kvadratni,Puni okvir,LEONARD,Crna,Acetat,51,41,Acetat,145,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5393__2000,Dioptrijski okvir RAY-BAN VISTA XS Crna,dioptrijski-okvir-rayban-vista-xs-crna-1
0RX5393-2,51,2012,RAY-BAN VISTA,146,XS,Unisex,Kvadratni,Puni okvir,LEONARD,Havana,Acetat,51,41,Acetat,145,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5393__2012,Dioptrijski okvir RAY-BAN VISTA XS Havana,dioptrijski-okvir-rayban-vista-xs-havana
0RX5393-3,49,8360,RAY-BAN VISTA,146,XXS,Unisex,Kvadratni,Puni okvir,LEONARD,Prugasta siva,Acetat,49,40,Acetat,145,17,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5393__8360,Dioptrijski okvir RAY-BAN VISTA XXS Prugasta siva,dioptrijski-okvir-rayban-vista-xxs-prugasta-siva
0RX5397,50,2000,RAY-BAN VISTA,146,"XS,S",Unisex,Nepravilan,Puni okvir,ELLIOT,"Crna,Havana,Havana siva",Acetat,50,42,Acetat,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5397__2000,"Dioptrijski okvir RAY-BAN VISTA XS,S Crna,Havana,Havana siva",dioptrijski-okvir-rayban-vista-xss-crnahavanahavana-siva
0RX5397-1,50,2000,RAY-BAN VISTA,146,XS,Unisex,Nepravilan,Puni okvir,ELLIOT,Crna,Acetat,50,42,Acetat,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5397__2000,Dioptrijski okvir RAY-BAN VISTA XS Crna,dioptrijski-okvir-rayban-vista-xs-crna-2
0RX5397-2,52,2000,RAY-BAN VISTA,146,S,Unisex,Nepravilan,Puni okvir,ELLIOT,Crna,Acetat,52,43,Acetat,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5397__2000,Dioptrijski okvir RAY-BAN VISTA S Crna,dioptrijski-okvir-rayban-vista-s-crna-4
0RX5397-3,50,2012,RAY-BAN VISTA,146,XS,Unisex,Nepravilan,Puni okvir,ELLIOT,Havana,Acetat,50,42,Acetat,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5397__2012,Dioptrijski okvir RAY-BAN VISTA XS Havana,dioptrijski-okvir-rayban-vista-xs-havana-1
0RX5397-4,50,8117,RAY-BAN VISTA,146,XS,Unisex,Nepravilan,Puni okvir,ELLIOT,Havana siva,Acetat,50,42,Acetat,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5397__8117,Dioptrijski okvir RAY-BAN VISTA XS Havana siva,dioptrijski-okvir-rayban-vista-xs-havana-siva
0RX5406,52,2000,RAY-BAN VISTA,132,"M,L",Unisex,Kvadratni,Puni okvir,,"Crna,Havana,Crna na Prozirna",Acetat,52,40,Acetat,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5406__2000,"Dioptrijski okvir RAY-BAN VISTA M,L Crna,Havana,Crna na Prozirna",dioptrijski-okvir-rayban-vista-ml-crnahavanacrna-na-prozirna
0RX5406-1,52,2000,RAY-BAN VISTA,132,M,Unisex,Kvadratni,Puni okvir,,Crna,Acetat,52,40,Acetat,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5406__2000,Dioptrijski okvir RAY-BAN VISTA M Crna,dioptrijski-okvir-rayban-vista-m-crna-1
0RX5406-2,54,2126,RAY-BAN VISTA,132,L,Unisex,Kvadratni,Puni okvir,,Havana,Acetat,54,41,Acetat,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5406__2126,Dioptrijski okvir RAY-BAN VISTA L Havana,dioptrijski-okvir-rayban-vista-l-havana
0RX5406-3,54,2034,RAY-BAN VISTA,132,L,Unisex,Kvadratni,Puni okvir,,Crna na Prozirna,Acetat,54,41,Acetat,145,18,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5406__2034,Dioptrijski okvir RAY-BAN VISTA L Crna na Prozirna,dioptrijski-okvir-rayban-vista-l-crna-na-prozirna
0RX5411D,54,2012,RAY-BAN VISTA,146,M,Unisex,Nepravilan,Puni okvir,,"Havana,Transparentna zelena",Acetat,54,47,Acetat,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5411D__2012,"Dioptrijski okvir RAY-BAN VISTA M Havana,Transparentna zelena",dioptrijski-okvir-rayban-vista-m-havanatransparentna-zelena
0RX5411D-1,54,2012,RAY-BAN VISTA,146,M,Unisex,Nepravilan,Puni okvir,,Havana,Acetat,54,47,Acetat,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5411D__2012,Dioptrijski okvir RAY-BAN VISTA M Havana,dioptrijski-okvir-rayban-vista-m-havana
0RX5411D-2,54,8218,RAY-BAN VISTA,146,M,Unisex,Nepravilan,Puni okvir,,Transparentna zelena,Acetat,54,47,Acetat,145,20,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5411D__8218,Dioptrijski okvir RAY-BAN VISTA M Transparentna zelena,dioptrijski-okvir-rayban-vista-m-transparentna-zelena
0RX5422,54,2034,RAY-BAN VISTA,146,"M,S",Žene,Mačkasti,Puni okvir,,"Crna na Prozirna,Plava i svijetloplava,Tamnosiva",Acetat,54,42,Acetat,145,16,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5422__2034,"Dioptrijski okvir RAY-BAN VISTA M,S Crna na Prozirna,Plava i svijetloplava,Tamnosiva",dioptrijski-okvir-rayban-vista-ms-crna-na-prozirnaplava-i-svijetloplavatamnosiva
0RX5422-1,54,2034,RAY-BAN VISTA,146,M,Žene,Mačkasti,Puni okvir,,Crna na Prozirna,Acetat,54,42,Acetat,145,16,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5422__2034,Dioptrijski okvir RAY-BAN VISTA M Crna na Prozirna,dioptrijski-okvir-rayban-vista-m-crna-na-prozirna
0RX5422-2,52,8309,RAY-BAN VISTA,146,S,Žene,Mačkasti,Puni okvir,,Plava i svijetloplava,Acetat,52,41,Acetat,140,16,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5422__8309,Dioptrijski okvir RAY-BAN VISTA S Plava i svijetloplava,dioptrijski-okvir-rayban-vista-s-plava-i-svijetloplava
0RX5422-3,54,8310,RAY-BAN VISTA,146,M,Žene,Mačkasti,Puni okvir,,Tamnosiva,Acetat,54,42,Acetat,145,16,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5422__8310,Dioptrijski okvir RAY-BAN VISTA M Tamnosiva,dioptrijski-okvir-rayban-vista-m-tamnosiva
0RX5425D,54,2000,RAY-BAN VISTA,146,M,Unisex,Kvadratni,Puni okvir,,"Crna,Havana",Acetat,54,46,Acetat,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5425D__2000,"Dioptrijski okvir RAY-BAN VISTA M Crna,Havana",dioptrijski-okvir-rayban-vista-m-crnahavana
0RX5425D-1,54,2000,RAY-BAN VISTA,146,M,Unisex,Kvadratni,Puni okvir,,Crna,Acetat,54,46,Acetat,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5425D__2000,Dioptrijski okvir RAY-BAN VISTA M Crna,dioptrijski-okvir-rayban-vista-m-crna-2
0RX5425D-2,54,2012,RAY-BAN VISTA,146,M,Unisex,Kvadratni,Puni okvir,,Havana,Acetat,54,46,Acetat,145,19,Dioptrijski okvir,Uncategorized,SvePotrebno,Dioptrijski okvir RAY-BAN VISTA,0RX5425D__2012,Dioptrijski okvir RAY-BAN VISTA M Havana,dioptrijski-okvir-rayban-vista-m-havana-1
