Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Naziv kategorije;BREND;SPOL;OBLIK OKVIRA;U KOJIM BOJAMA JE DOSTUPAN;U KOJIM VELIČINAMA;MATERIJAL OKVIRA;CIJENA S UKLJUČENIM PDV-om;ŠIRINA LEĆE;VISINA LEĆE;ŠIRINA MOSTA;RUČKICE;ŠIRINA FRONTE;ŠIFRA;Naziv proizvoda
F0398;f0398;;F0398__029,F0398__113,F0398__005;Default;Eyewear;PLAVA 029,CRNO/ROZA 113;;Dioptrijski okvir;CENTROSTYLE;Dječje;Pahthos;PLAVA 029,CRNO/ROZA 113;S;Plastika;70;45;37,8;16;135;121,2;F0398;CENTROSTYLE
F0398-S-PLAVA-029;f0398-s-plava-029;029;F0398__029;Default;Eyewear;PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Dječje;Pahthos;PLAVA 029,CRNO/ROZA 113;S;Plastika;70;45;37,8;16;135;121,2;F0398;CENTROSTYLE
F0398-S-CRNO-ROZA-113;f0398-s-crno-roza-113;113;F0398__113;Default;Eyewear;CRNO/ROZA;crna;Dioptrijski okvir;CENTROSTYLE;Dječje;Pahthos;PLAVA 029,CRNO/ROZA 113;S;Plastika;70;45;37,8;16;135;121,2;F0398;CENTROSTYLE
F0398-L-PLAVA-005;f0398-l-plava-005;005;F0398__005;Default;Eyewear;PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Dječje;Okrugao;PLAVA 005;L;Plastika;70;47;39,3;15;135;140;F0398;CENTROSTYLE
F0137;f0137;;F0137__301;Default;Eyewear;CRNA/TIRKIZNA 301;;Dioptrijski okvir;CENTROSTYLE;Dječje;Pahthos;CRNA/TIRKIZNA 301;M;Plastika;80;47;;17;135;;F0137;CENTROSTYLE
F0137-M-CRNA-TIRKIZNA-301;f0137-m-crna-tirkizna-301;301;F0137__301;Default;Eyewear;CRNA/TIRKIZNA;crna;Dioptrijski okvir;CENTROSTYLE;Dječje;Pahthos;CRNA/TIRKIZNA 301;M;Plastika;80;47;;17;135;;F0137;CENTROSTYLE
F0159;f0159;;F0159__025,F0159__230;Default;Eyewear;CRNA/ZELENA 025;;Dioptrijski okvir;CENTROSTYLE;Unisex;Ovalni;CRNA/ZELENA 025;M;Plastika;70;50;;17;135;;F0159;CENTROSTYLE
F0159-M-CRNA-ZELENA-025;f0159-m-crna-zelena-025;025;F0159__025;Default;Eyewear;CRNA/ZELENA;crna;Dioptrijski okvir;CENTROSTYLE;Unisex;Ovalni;CRNA/ZELENA 025;M;Plastika;70;50;;17;135;;F0159;CENTROSTYLE
F0159-M-ROZA-230;f0159-m-roza-230;230;F0159__230;Default;Eyewear;ROZA;roza;Dioptrijski okvir;CENTROSTYLE;Dječje;Pahthos;ROZA 230;M;Plastika;70;48;;16;135;;F0159;CENTROSTYLE
F0257;f0257;;F0257__242;Default;Eyewear;CRNA/PLAVA 242;;SPORTSKE ZAŠTITNE NAOČALE;CENTROSTYLE;Unisex;Ovalni;CRNA/PLAVA 242;M;;110;53;33,8;21;130;136;F0257;CENTROSTYLE
F0257-M-CRNA-PLAVA-242;f0257-m-crna-plava-242;242;F0257__242;Default;Eyewear;CRNA/PLAVA;crna;SPORTSKE ZAŠTITNE NAOČALE;CENTROSTYLE;Unisex;Ovalni;CRNA/PLAVA 242;M;;110;53;33,8;21;130;136;F0257;CENTROSTYLE
F0364;f0364;;F0364__009,F0364__071,F0364__050;Default;Eyewear;HAVANA 009,PLAVA 071,CRNA 050;;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;HAVANA 009,PLAVA 071,CRNA 050;M;Plastika;60;53;44,5;15;140;137;F0364;CENTROSTYLE
F0364-M-HAVANA-009;f0364-m-havana-009;009;F0364__009;Default;Eyewear;HAVANA;smeđa;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;HAVANA 009,PLAVA 071,CRNA 050;M;Plastika;60;53;44,5;15;140;137;F0364;CENTROSTYLE
F0364-M-PLAVA-071;f0364-m-plava-071;071;F0364__071;Default;Eyewear;PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;HAVANA 009,PLAVA 071,CRNA 050;M;Plastika;60;53;44,5;15;140;137;F0364;CENTROSTYLE
F0364-M-CRNA-050;f0364-m-crna-050;050;F0364__050;Default;Eyewear;CRNA;crna;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;HAVANA 009,PLAVA 071,CRNA 050;M;Plastika;60;53;44,5;15;140;137;F0364;CENTROSTYLE
F0283;f0283;;F0283__122;Default;Eyewear;TAMNO CRVENA 122;;Dioptrijski okvir+clip on;CENTROSTYLE;Unisex;Okrugao;TAMNO CRVENA 122;M;Plastika;90;45;39,7;18;135;124,2;F0283;CENTROSTYLE
F0283-M-TAMNO-CRVENA-122;f0283-m-tamno-crvena-122;122;F0283__122;Default;Eyewear;TAMNO CRVENA;crvena;Dioptrijski okvir+clip on;CENTROSTYLE;Unisex;Okrugao;TAMNO CRVENA 122;M;Plastika;90;45;39,7;18;135;124,2;F0283;CENTROSTYLE
F0215;f0215;;F0215__001;Default;Eyewear;CRNA 001;;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;CRNA 001;M;Plastika;60;52;41;14;140;133;F0215;CENTROSTYLE
F0215-M-CRNA-001;f0215-m-crna-001;001;F0215__001;Default;Eyewear;CRNA;crna;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;CRNA 001;M;Plastika;60;52;41;14;140;133;F0215;CENTROSTYLE
F0058;f0058;;F0058__134,F0058__001;Default;Eyewear;BORDO 134,CRNA 001;;Dioptrijski okvir+clip on;CENTROSTYLE;Ženske;Cat Eye;BORDO 134,CRNA 001;M;Plastika;105;48;38,1;16;135;131;F0058;CENTROSTYLE
F0058-M-BORDO-134;f0058-m-bordo-134;134;F0058__134;Default;Eyewear;BORDO;bordo;Dioptrijski okvir+clip on;CENTROSTYLE;Ženske;Cat Eye;BORDO 134,CRNA 001;M;Plastika;105;48;38,1;16;135;131;F0058;CENTROSTYLE
F0058-M-CRNA-001;f0058-m-crna-001;001;F0058__001;Default;Eyewear;CRNA;crna;Dioptrijski okvir+clip on;CENTROSTYLE;Ženske;Cat Eye;BORDO 134,CRNA 001;M;Plastika;105;48;38,1;16;135;131;F0058;CENTROSTYLE
F0172;f0172;;F0172__312,F0172__311;Default;Eyewear;PLAVO/ROZA 312,CRVENO/PLAVO 311;;Dioptrijski okvir;CENTROSTYLE;Dječje;Ovalni;PLAVO/ROZA 312,CRVENO/PLAVO 311;M;Plastika;80;45;36,3;14;130;121,6;F0172;CENTROSTYLE
F0172-M-PLAVO-ROZA-312;f0172-m-plavo-roza-312;312;F0172__312;Default;Eyewear;PLAVO/ROZA;plava;Dioptrijski okvir;CENTROSTYLE;Dječje;Ovalni;PLAVO/ROZA 312,CRVENO/PLAVO 311;M;Plastika;80;45;36,3;14;130;121,6;F0172;CENTROSTYLE
F0172-M-CRVENO-PLAVO-311;f0172-m-crveno-plavo-311;311;F0172__311;Default;Eyewear;CRVENO/PLAVO;crvena;Dioptrijski okvir;CENTROSTYLE;Dječje;Ovalni;PLAVO/ROZA 312,CRVENO/PLAVO 311;M;Plastika;80;45;36,3;14;130;121,6;F0172;CENTROSTYLE
F0213;f0213;;F0213__108;Default;Eyewear;SMEĐE/PLAVO 108;;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;SMEĐE/PLAVO 108;M;Plastika;92;53;36;16;140;134,8;F0213;CENTROSTYLE
F0213-M-SMEDE-PLAVO-108;f0213-m-smede-plavo-108;108;F0213__108;Default;Eyewear;SMEĐE/PLAVO;smeđa;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;SMEĐE/PLAVO 108;M;Plastika;92;53;36;16;140;134,8;F0213;CENTROSTYLE
F0078;f0078;;F0078__180;Default;Eyewear;PLAVA 180;;Dioptrijski okvir+clip on;CENTROSTYLE;Dječje;Okrugao;PLAVA 180;M;Plastika;90;46;39;18;135;126,7;F0078;CENTROSTYLE
F0078-M-PLAVA-180;f0078-m-plava-180;180;F0078__180;Default;Eyewear;PLAVA;crna;Dioptrijski okvir+clip on;CENTROSTYLE;Dječje;Okrugao;PLAVA 180;M;Plastika;90;46;39;18;135;126,7;F0078;CENTROSTYLE
F0374;f0374;;F0374__002;Default;Eyewear;CRNA 002;;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;CRNA 002;L;Metal;119;57;39,6;18;150;147,5;F0374;CENTROSTYLE
F0374-L-CRNA-002;f0374-l-crna-002;002;F0374__002;Default;Eyewear;CRNA;crna;Dioptrijski okvir+clip on;CENTROSTYLE;Muške;Četvrtasti;CRNA 002;L;Metal;119;57;39,6;18;150;147,5;F0374;CENTROSTYLE
F0177;f0177;;F0177__017,F0177__018;Default;Eyewear;SREBRNA 017,ZLATNA 018;;Dioptrijski okvir;CENTROSTYLE;Ženske;Šesterokutan;SREBRNA 017,ZLATNA 018;M;Metal;70;53;45,5;15;145;139,5;F0177;CENTROSTYLE
F0177-M-SREBRNA-017;f0177-m-srebrna-017;017;F0177__017;Default;Eyewear;SREBRNA;srebrna;Dioptrijski okvir;CENTROSTYLE;Ženske;Šesterokutan;SREBRNA 017,ZLATNA 018;M;Metal;70;53;45,5;15;145;139,5;F0177;CENTROSTYLE
F0177-M-ZLATNA-018;f0177-m-zlatna-018;018;F0177__018;Default;Eyewear;ZLATNA;zlatna;Dioptrijski okvir;CENTROSTYLE;Ženske;Šesterokutan;SREBRNA 017,ZLATNA 018;M;Metal;70;53;45,5;15;145;139,5;F0177;CENTROSTYLE
F0173;f0173;;F0173__018;Default;Eyewear;ZLATNA 018;;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;ZLATNA 018;M;Metal;70;53;45,3;17;145;140,7;F0173;CENTROSTYLE
F0173-M-ZLATNA-018;f0173-m-zlatna-018;018;F0173__018;Default;Eyewear;ZLATNA;zlatna;Dioptrijski okvir;CENTROSTYLE;Ženske;Cat Eye;ZLATNA 018;M;Metal;70;53;45,3;17;145;140,7;F0173;CENTROSTYLE
