Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Vodič za veličinu;Šifra modela;Veličina;Šifra boje;Ime branda;MPC;Spol;Oblik;Tip;Opis naziva modela;Boja prednjeg dijela;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Veličina mosta;Ime proizvoda;Kategorija
0RX3694V-L-Srebrna-2501;0rx3694v-l-srebrna-2501;2501;0RX3694V__2501;Default;Eyewear;Srebrna;srebrna;L;0RX3694V;53;2501;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;JIM;Srebrna;Metal;53;45;Metal;140;20;RAY-BAN VISTA;Dioptrijste naočale
0RX3694V-M-Havana-smeda-na-srebrnoj-3178;0rx3694v-m-havana-smeda-na-srebrnoj-3178;3178;0RX3694V__3178;Default;Eyewear;Havana smeđa na srebrnoj;smeđa;M;0RX3694V;51;3178;RAY-BAN VISTA;146;Unisex;Nepravilan;Puni okvir;JIM;Havana smeđa na srebrnoj;Metal;51;43;Metal;140;20;RAY-BAN VISTA;Dioptrijste naočale
0RX3716VM;0rx3716vm;;0RX3716VM__2904;Default;Eyewear;Crna;;L;0RX3716VM;50;2904;RAY-BAN VISTA;165;Unisex;Kvadratni;Poluotvoreni okvir;CLUBMASTER METAL;Crna;Metal;50;43;Metal;145;22;RAY-BAN VISTA;Dioptrijste naočale
0RX3716VM-L-Crna-2904;0rx3716vm-l-crna-2904;2904;0RX3716VM__2904;Default;Eyewear;Crna;crna;L;0RX3716VM;50;2904;RAY-BAN VISTA;165;Unisex;Kvadratni;Poluotvoreni okvir;CLUBMASTER METAL;Crna;Metal;50;43;Metal;145;22;RAY-BAN VISTA;Dioptrijste naočale
0RX3717V;0rx3717v;;0RX3717V__2502;Default;Eyewear;Gunmetal;;L;0RX3717V;54;2502;RAY-BAN VISTA;155;Unisex;Četvrtasti;Puni okvir;;Gunmetal;Metal;54;37;Metal;140;18;RAY-BAN VISTA;Dioptrijste naočale
0RX3717V-L-Gunmetal-2502;0rx3717v-l-gunmetal-2502;2502;0RX3717V__2502;Default;Eyewear;Gunmetal;siva;L;0RX3717V;54;2502;RAY-BAN VISTA;155;Unisex;Četvrtasti;Puni okvir;;Gunmetal;Metal;54;37;Metal;140;18;RAY-BAN VISTA;Dioptrijste naočale
0RX3947V;0rx3947v;;0RX3947V__2501,0RX3947V__2509;Default;Eyewear;Srebrna;;XS;0RX3947V;48;2501;RAY-BAN VISTA;146;Unisex;Okrugli;Poluotvoreni okvir;ROUND GAZE;Srebrna;Metal;48;45;Metal;140;22;RAY-BAN VISTA;Dioptrijste naočale
0RX3947V-XS-Srebrna-2501;0rx3947v-xs-srebrna-2501;2501;0RX3947V__2501;Default;Eyewear;Srebrna;srebrna;XS;0RX3947V;48;2501;RAY-BAN VISTA;146;Unisex;Okrugli;Poluotvoreni okvir;ROUND GAZE;Srebrna;Metal;48;45;Metal;140;22;RAY-BAN VISTA;Dioptrijste naočale
0RX3947V-S-Srebrna-2501;0rx3947v-s-srebrna-2501;2501;0RX3947V__2501;Default;Eyewear;Srebrna;srebrna;S;0RX3947V;51;2501;RAY-BAN VISTA;146;Unisex;Okrugli;Poluotvoreni okvir;ROUND GAZE;Srebrna;Metal;51;48;Metal;145;22;RAY-BAN VISTA;Dioptrijste naočale
0RX3947V-S-Crna-2509;0rx3947v-s-crna-2509;2509;0RX3947V__2509;Default;Eyewear;Crna;crna;S;0RX3947V;51;2509;RAY-BAN VISTA;146;Unisex;Okrugli;Poluotvoreni okvir;ROUND GAZE;Crna;Metal;51;48;Metal;145;22;RAY-BAN VISTA;Dioptrijste naočale
