Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Naziv proizvoda;BREND;SPOL;OBLIK OKVIRA;U KOJIM BOJAMA JE DOSTUPAN;U KOJIM VELIČINAMA;MATERIJAL OKVIRA;CIJENA S UKLJUČENIM PDV-om;ŠIRINA LEĆE;VISINA LEĆE;ŠIRINA MOSTA;RUČKICE;ŠIRINA FRONTE;ŠIFRA
F0386-M-CRVENA-041;f0386-m-041;041;F0386-041;Default;Eyewear;CRVENA;crvena;Dioptrijski okvir;CENTROSTYLE;;Okrugao;CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;70;48;42,4;20;140;133;F0386
F0386-M-PLAVA-008;f0386-m-008;008;F0386-008;Default;Eyewear;PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;;Okrugao;CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;70;48;42,4;20;140;133;F0386
F0386-M-ZELENA-205;f0386-m-205;205;F0386-205;Default;Eyewear;ZELENA;zelena;Dioptrijski okvir;CENTROSTYLE;;Okrugao;CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;70;48;42,4;20;140;133;F0386
F0386-M-CRNA-002;f0386-m-002;002;F0386-002;Default;Eyewear;CRNA;crna;Dioptrijski okvir;CENTROSTYLE;;Okrugao;CRVENA 041,PLAVA 008,ZELENA 205,CRNA 002;M;Plastika;70;48;42,4;20;140;133;F0386
F0344;f0344;;F0344-018,F0344-046,F0344-043;Default;Eyewear;GOLD 018;;Dioptrijski okvir;CENTROSTYLE;;Četvrtasti;GOLD 018;S;Metal;70;47;40,3;20;145;132;F0344
F0344-S-GOLD-018;f0344-s-018;018;F0344-018;Default;Eyewear;GOLD;zlatna;Dioptrijski okvir;CENTROSTYLE;;Četvrtasti;GOLD 018;S;Metal;70;47;40,3;20;145;132;F0344
F0344-M-GRAFITNO-SIVA-046;f0344-m-046;046;F0344-046;Default;Eyewear;GRAFITNO SIVA;siva;Dioptrijski okvir;CENTROSTYLE;;Četvrtasti;GRAFITNO SIVA 046,ROSE GOLD 043;M;Metal;70;49;41,9;20;145;135;F0344
F0344-M-ROSE-GOLD-043;f0344-m-043;043;F0344-043;Default;Eyewear;ROSE GOLD;zlatna;Dioptrijski okvir;CENTROSTYLE;;Četvrtasti;GRAFITNO SIVA 046,ROSE GOLD 043;M;Metal;70;49;41,9;20;145;135;F0344
F0321;f0321;;F0321-088;Default;Eyewear;SVJETLO PLAVA 088;;Dioptrijski okvir;CENTROSTYLE;Dječje;Okrugao;SVJETLO PLAVA 088;M;Plastika;60;46;40,6;19;135;126,5;F0321
F0321-M-SVJETLO-PLAVA-088;f0321-m-088;088;F0321-088;Default;Eyewear;SVJETLO PLAVA;plava;Dioptrijski okvir;CENTROSTYLE;Dječje;Okrugao;SVJETLO PLAVA 088;M;Plastika;60;46;40,6;19;135;126,5;F0321
GENIUS TWO;genius-two;;GENIUS TWO-OP575,GENIUS TWO-OP572,GENIUS TWO-OP573;Default;Eyewear;SMEĐA OP575, ZLATNA OP572, SREBRNE OP573;;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Pilot;SMEĐA OP575, ZLATNA OP572, SREBRNE OP573;M;Metal;175;56;50;18;145;140;GENIUS TWO
GENIUS TWO-M-SMEDA-OP575;genius-two-m-op575;OP575;GENIUS TWO-OP575;Default;Eyewear;SMEĐA;smeđa;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Pilot;SMEĐA OP575, ZLATNA OP572, SREBRNE OP573;M;Metal;175;56;50;18;145;140;GENIUS TWO
GENIUS TWO-M-ZLATNA-OP572;genius-two-m-op572;OP572;GENIUS TWO-OP572;Default;Eyewear;ZLATNA;zlatna;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Pilot;SMEĐA OP575, ZLATNA OP572, SREBRNE OP573;M;Metal;175;56;50;18;145;140;GENIUS TWO
GENIUS TWO-M-SREBRNE-OP573;genius-two-m-op573;OP573;GENIUS TWO-OP573;Default;Eyewear;SREBRNE;srebrna;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Pilot;SMEĐA OP575, ZLATNA OP572, SREBRNE OP573;M;Metal;175;56;50;18;145;140;GENIUS TWO
AZURE;azure;;AZURE-OP823,AZURE-OP824;Default;Eyewear;PROZIRNE OP823, ROZA OP824;;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Četvrtasti;PROZIRNE OP823, ROZA OP824;M;Acetat;175;55;50;17;145;143;AZURE
AZURE-M-PROZIRNE-OP823;azure-m-op823;OP823;AZURE-OP823;Default;Eyewear;PROZIRNE;prozirna;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Četvrtasti;PROZIRNE OP823, ROZA OP824;M;Acetat;175;55;50;17;145;143;AZURE
AZURE-M-ROZA-OP824;azure-m-op824;OP824;AZURE-OP824;Default;Eyewear;ROZA;roza;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Četvrtasti;PROZIRNE OP823, ROZA OP824;M;Acetat;175;55;50;17;145;143;AZURE
ABBEY;abbey;;ABBEY-XF003SL,ABBEY-XF003RS;Default;Eyewear;PROZIRNE XF003SL, ROZA XF003RS;;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Četvrtasti;PROZIRNE XF003SL, ROZA XF003RS;M;Acetat;145;55;49;19;145;143;ABBEY
ABBEY-M-PROZIRNE-XF003SL;abbey-m-xf003sl;XF003SL;ABBEY-XF003SL;Default;Eyewear;PROZIRNE;prozirna;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Četvrtasti;PROZIRNE XF003SL, ROZA XF003RS;M;Acetat;145;55;49;19;145;143;ABBEY
ABBEY-M-ROZA-XF003RS;abbey-m-xf003rs;XF003RS;ABBEY-XF003RS;Default;Eyewear;ROZA;roza;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Četvrtasti;PROZIRNE XF003SL, ROZA XF003RS;M;Acetat;145;55;49;19;145;143;ABBEY
STELLA TWO;stella-two;;STELLA TWO-OP511;Default;Eyewear;CRNA OP511;;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Cat Eye;CRNA OP511;M;Metal;175;56;47;18;145;140;STELLA TWO
STELLA TWO-M-CRNA-OP511;stella-two-m-op511;OP511;STELLA TWO-OP511;Default;Eyewear;CRNA;crna;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Cat Eye;CRNA OP511;M;Metal;175;56;47;18;145;140;STELLA TWO
DION;dion;;DION-OP432,DION-OP433;Default;Eyewear;SMEĐA OP432, PROZIRNA OP433;;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Cat Eye;SMEĐA OP432, PROZIRNA OP433;M;Acetat;175;53;50;19;145;145;DION
DION-M-SMEDA-OP432;dion-m-op432;OP432;DION-OP432;Default;Eyewear;SMEĐA;smeđa;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Cat Eye;SMEĐA OP432, PROZIRNA OP433;M;Acetat;175;53;50;19;145;145;DION
DION-M-PROZIRNA-OP433;dion-m-op433;OP433;DION-OP433;Default;Eyewear;PROZIRNA;prozirna;Dioptrijski okvir;FOR ARTS SAKE;Ženske;Cat Eye;SMEĐA OP432, PROZIRNA OP433;M;Acetat;175;53;50;19;145;145;DION
