Sku;Slug;ColorCode;Image;AttributeSet;Category;ColorUnTransformed;TransformedColor;Šifra modela;Veličina;Šifra boje;Boja prednjeg dijela;MPC;Ime branda;Šifra branda;Vodič za veličinu;Spol;Oblik;Tip;Materijal prednjeg dijela;Širina leće;Visina leće;Materijal ručkice;Dužina ručkice;Fleksibilni;Veličina mosta;Naziv proizvoda;širina fronte
VO5367-M-Crna-W44;vo5367-m-crna-w44;W44;VO5367__W44;Default;Eyewear;Crna;crna;VO5367;50;W44;Crna;92;VOGUE;VO;M;Muškarci;Ovalni;Puni okvir;Acetat;50;47;Acetat;145;;20;VOGUE;138
VO5472;vo5472;;VO5472__W44;Default;Eyewear;Crna;;VO5472;49;W44;Crna;101;VOGUE;VO;M;Muškarci;Nepravilan;Puni okvir;Acetat;49;45;Metal;145;;21;VOGUE;138
VO5472-M-Crna-W44;vo5472-m-crna-w44;W44;VO5472__W44;Default;Eyewear;Crna;crna;VO5472;49;W44;Crna;101;VOGUE;VO;M;Muškarci;Nepravilan;Puni okvir;Acetat;49;45;Metal;145;;21;VOGUE;138
VO5522;vo5522;;VO5522__3100,VO5522__3101;Default;Eyewear;CRVENO LJUBIČASTI;;VO5522;52;3100;CRVENO LJUBIČASTI;101;VOGUE;VO;S;Žene;Nepravilan;Puni okvir;Injektirani;52;46;Metal;135;;16;VOGUE;132
VO5522-S-CRVENO-LJUBICASTI-3100;vo5522-s-crveno-ljubicasti-3100;3100;VO5522__3100;Default;Eyewear;CRVENO LJUBIČASTI;crvena;VO5522;52;3100;CRVENO LJUBIČASTI;101;VOGUE;VO;S;Žene;Nepravilan;Puni okvir;Injektirani;52;46;Metal;135;;16;VOGUE;132
VO5522-M-Smeda-3101;vo5522-m-smeda-3101;3101;VO5522__3101;Default;Eyewear;Smeđa;smeđa;VO5522;54;3101;Smeđa;101;VOGUE;VO;M;Žene;Nepravilan;Puni okvir;Injektirani;54;48;Metal;140;;16;VOGUE;138
VO5430D;vo5430d;;VO5430D__W656,VO5430D__W44,VO5430D__2798;Default;Eyewear;SMEĐA, CRNA, ROZA;;VO5430D;53;W656,W44,2798;SMEĐA, CRNA, ROZA;80;VOGUE;VO;M;Žene;Nepravilan;Puni okvir;Acetat;53;50;Metal;140;;18;VOGUE;140
VO5430D-M-SMEDA-W656;vo5430d-m-smeda-w656;W656;VO5430D__W656;Default;Eyewear;SMEĐA;smeđa;VO5430D;53;W656,W44,2798;SMEĐA, CRNA, ROZA;80;VOGUE;VO;M;Žene;Nepravilan;Puni okvir;Acetat;53;50;Metal;140;;18;VOGUE;140
VO5430D-M-CRNA-W44;vo5430d-m-crna-w44;W44;VO5430D__W44;Default;Eyewear;CRNA;crna;VO5430D;53;W656,W44,2798;SMEĐA, CRNA, ROZA;80;VOGUE;VO;M;Žene;Nepravilan;Puni okvir;Acetat;53;50;Metal;140;;18;VOGUE;140
VO5430D-M-ROZA-2798;vo5430d-m-roza-2798;2798;VO5430D__2798;Default;Eyewear;ROZA;roza;VO5430D;53;W656,W44,2798;SMEĐA, CRNA, ROZA;80;VOGUE;VO;M;Žene;Nepravilan;Puni okvir;Acetat;53;50;Metal;140;;18;VOGUE;140
VO5425B;vo5425b;;VO5425B__W44,VO5425B__2386;Default;Eyewear;CRNA, SMEĐA;;VO5425B;54;W44,2386;CRNA, SMEĐA;110;VOGUE;VO;M;Žene;Ovalni;Puni okvir;Injektirani;54;42;Injektirani;140;;17;VOGUE;142
VO5425B-M-CRNA-W44;vo5425b-m-crna-w44;W44;VO5425B__W44;Default;Eyewear;CRNA;crna;VO5425B;54;W44,2386;CRNA, SMEĐA;110;VOGUE;VO;M;Žene;Ovalni;Puni okvir;Injektirani;54;42;Injektirani;140;;17;VOGUE;142
VO5425B-M-SMEDA-2386;vo5425b-m-smeda-2386;2386;VO5425B__2386;Default;Eyewear;SMEĐA;smeđa;VO5425B;54;W44,2386;CRNA, SMEĐA;110;VOGUE;VO;M;Žene;Ovalni;Puni okvir;Injektirani;54;42;Injektirani;140;;17;VOGUE;142
VO5570;vo5570;;VO5570__WT45,VO5570__W44;Default;Eyewear;Prozirna, CRNA;;VO5570;51;WT45,W44;Prozirna, CRNA;101;VOGUE;VO;M;Muškarci;Kvadratni;Puni okvir;Acetat;51;46;Acetat;145;;20;VOGUE;138
VO5570-M-Prozirna-WT45;vo5570-m-prozirna-wt45;WT45;VO5570__WT45;Default;Eyewear;Prozirna;prozirna;VO5570;51;WT45,W44;Prozirna, CRNA;101;VOGUE;VO;M;Muškarci;Kvadratni;Puni okvir;Acetat;51;46;Acetat;145;;20;VOGUE;138
VO5570-M-CRNA-W44;vo5570-m-crna-w44;W44;VO5570__W44;Default;Eyewear;CRNA;crna;VO5570;51;WT45,W44;Prozirna, CRNA;101;VOGUE;VO;M;Muškarci;Kvadratni;Puni okvir;Acetat;51;46;Acetat;145;;20;VOGUE;138
VO5532;vo5532;;VO5532__3109;Default;Eyewear;Crna;;VO5532;54;3109;Crna;92;VOGUE;VO;M;Muškarci;Kvadratni;Puni okvir;Najlonska vlakna;54;47;Metal;145;;19;VOGUE;140
VO5532-M-Crna-3109;vo5532-m-crna-3109;3109;VO5532__3109;Default;Eyewear;Crna;crna;VO5532;54;3109;Crna;92;VOGUE;VO;M;Muškarci;Kvadratni;Puni okvir;Najlonska vlakna;54;47;Metal;145;;19;VOGUE;140
VO5532-S-Crna-3109;vo5532-s-crna-3109;3109;VO5532__3109;Default;Eyewear;Crna;crna;VO5532;52;3109;Crna;92;VOGUE;VO;S;Muškarci;Kvadratni;Puni okvir;Najlonska vlakna;52;45;Metal;145;;19;VOGUE;135
VO5518;vo5518;;VO5518__3050,VO5518__W44;Default;Eyewear;ZELENA;;VO5518;51;3050;ZELENA;84;VOGUE;VO;S;Žene;Zaobljeni četvrtasti;Puni okvir;Najlonska vlakna;51;44;Najlonska vlakna;140;;16;VOGUE;132
VO5518-S-ZELENA-3050;vo5518-s-zelena-3050;3050;VO5518__3050;Default;Eyewear;ZELENA;zelena;VO5518;51;3050;ZELENA;84;VOGUE;VO;S;Žene;Zaobljeni četvrtasti;Puni okvir;Najlonska vlakna;51;44;Najlonska vlakna;140;;16;VOGUE;132
VO5518-M-Crna-W44;vo5518-m-crna-w44;W44;VO5518__W44;Default;Eyewear;Crna;crna;VO5518;53;W44;Crna;84;VOGUE;VO;M;Žene;Zaobljeni četvrtasti;Puni okvir;Najlonska vlakna;53;46;Najlonska vlakna;140;;16;VOGUE;135
VO5572;vo5572;;VO5572__W44;Default;Eyewear;Crna;;VO5572;54;W44;Crna;105;VOGUE;VO;L;Muškarci;Zaobljeni četvrtasti;Puni okvir;Acetat;54;48;Acetat;145;;20;VOGUE;145
VO5572-L-Crna-W44;vo5572-l-crna-w44;W44;VO5572__W44;Default;Eyewear;Crna;crna;VO5572;54;W44;Crna;105;VOGUE;VO;L;Muškarci;Zaobljeni četvrtasti;Puni okvir;Acetat;54;48;Acetat;145;;20;VOGUE;145
VO4249;vo4249;;VO4249__352,VO4249__5170;Default;Eyewear;Crna;;VO4249;53;352;Crna;101;VOGUE;VO;M;Žene;Zaobljeni četvrtasti;Puni okvir;Metal;53;45;Metal;140;;18;VOGUE;135
VO4249-M-Crna-352;vo4249-m-crna-352;352;VO4249__352;Default;Eyewear;Crna;crna;VO4249;53;352;Crna;101;VOGUE;VO;M;Žene;Zaobljeni četvrtasti;Puni okvir;Metal;53;45;Metal;140;;18;VOGUE;135
VO4249-S-Crna-352;vo4249-s-crna-352;352;VO4249__352;Default;Eyewear;Crna;crna;VO4249;51;352;Crna;101;VOGUE;VO;S;Žene;Zaobljeni četvrtasti;Puni okvir;Metal;51;43;Propionat;135;;18;VOGUE;132
VO4249-M-CRVENA-5170;vo4249-m-crvena-5170;5170;VO4249__5170;Default;Eyewear;CRVENA;crvena;VO4249;53;5170;CRVENA;101;VOGUE;VO;M;Žene;Zaobljeni četvrtasti;Puni okvir;Metal;53;46;Metal;140;;18;VOGUE;138
VO4292;vo4292;;VO4292__352S;Default;Eyewear;Crna;;VO4292;54;352S;Crna;101;VOGUE;VO;M;Žene;Četvrtasti;;Metal;54;38;Metal;145;;17;VOGUE;136
VO4292-M-Crna-352S;vo4292-m-crna-352s;352S;VO4292__352S;Default;Eyewear;Crna;crna;VO4292;54;352S;Crna;101;VOGUE;VO;M;Žene;Četvrtasti;;Metal;54;38;Metal;145;;17;VOGUE;136
VO4292-S-Crna-352S;vo4292-s-crna-352s;352S;VO4292__352S;Default;Eyewear;Crna;crna;VO4292;56;352S;Crna;101;VOGUE;VO;S;Žene;Četvrtasti;;Metal;52;39;Metal;145;;17;VOGUE;140
VO4183;vo4183;;VO4183__5135,VO4183__323,VO4183__352,VO4183__5136;Default;Eyewear;SMEĐA, SREBRNA, CRNA, SIVA;;VO4183;51;5135,323,352,5136;SMEĐA, SREBRNA, CRNA, SIVA;101;VOGUE;VO;S;Muškarci;Okrugli;Puni okvir;Metal;51;47;Metal;145;;21;VOGUE;130
VO4183-S-SMEDA-5135;vo4183-s-smeda-5135;5135;VO4183__5135;Default;Eyewear;SMEĐA;smeđa;VO4183;51;5135,323,352,5136;SMEĐA, SREBRNA, CRNA, SIVA;101;VOGUE;VO;S;Muškarci;Okrugli;Puni okvir;Metal;51;47;Metal;145;;21;VOGUE;130
VO4183-S-SREBRNA-323;vo4183-s-srebrna-323;323;VO4183__323;Default;Eyewear;SREBRNA;srebrna;VO4183;51;5135,323,352,5136;SMEĐA, SREBRNA, CRNA, SIVA;101;VOGUE;VO;S;Muškarci;Okrugli;Puni okvir;Metal;51;47;Metal;145;;21;VOGUE;130
VO4183-S-CRNA-352;vo4183-s-crna-352;352;VO4183__352;Default;Eyewear;CRNA;crna;VO4183;51;5135,323,352,5136;SMEĐA, SREBRNA, CRNA, SIVA;101;VOGUE;VO;S;Muškarci;Okrugli;Puni okvir;Metal;51;47;Metal;145;;21;VOGUE;130
VO4183-S-SIVA-5136;vo4183-s-siva-5136;5136;VO4183__5136;Default;Eyewear;SIVA;siva;VO4183;51;5135,323,352,5136;SMEĐA, SREBRNA, CRNA, SIVA;101;VOGUE;VO;S;Muškarci;Okrugli;Puni okvir;Metal;51;47;Metal;145;;21;VOGUE;130
VO4280;vo4280;;VO4280__5149,VO4280__323;Default;Eyewear;SMEĐA, CRNA;;VO4280;52;5149,323;SMEĐA, CRNA;84;VOGUE;VO;S;Žene;Okrugli;Puni okvir;Metal;52;49;Metal;140;;18;VOGUE;130
